"REF_DATE","GEO","DGUID","Type of direct investment","Countries","Type of direct investment flows","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","12461","","","","0"
"2024-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","-1426","","","","0"
"2024-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","14757","","","","0"
"2025-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","-14321","","","","0"
"2025-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","8545","","","","0"
"2025-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","3229","","","","0"
"2025-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Mergers and acquisitions","Dollars","81","millions","6","v61913912","1.1.1.2","-429","","","","0"
"2007-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","6132","","","","0"
"2007-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","6512","","","","0"
"2007-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","6126","","","","0"
"2007-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","5094","","","","0"
"2008-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","5149","","","","0"
"2008-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","5945","","","","0"
"2008-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","4084","","","","0"
"2008-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","2358","","","","0"
"2009-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","3235","","","","0"
"2009-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","4351","","","","0"
"2009-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","4063","","","","0"
"2009-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","3891","","","","0"
"2010-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","4788","","","","0"
"2010-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","4259","","","","0"
"2010-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","5818","","","","0"
"2010-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","6688","","","","0"
"2011-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","6096","","","","0"
"2011-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","6218","","","","0"
"2011-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","7028","","","","0"
"2011-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","7241","","","","0"
"2012-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","7042","","","","0"
"2012-04","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","4425","","","","0"
"2012-07","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","8939","","","","0"
"2012-10","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","7070","","","","0"
"2013-01","Canada","2016A000011124","Canadian direct investment abroad","All countries","Reinvested earnings","Dollars","81","millions","6","v61913913","1.1.1.3","4689","","","","0"
